price,rooms,address
"$845 - 1,850",1-3 Beds,"1844 Forest Village Ln, Columbus, OH 43229"
$799 - 825,1 Bed,"1551 Bryden Rd, Columbus, OH 43205"
"$727 - 1,348",1-3 Beds,"5400 Beverly Hills Dr, Columbus, OH 43213"
"$695 - 1,800",Studio - 3 Beds,"2233 Courtside Dr, Columbus, OH 43232"
"$829 - 1,099",1-2 Beds,"2005 Noe Bixby Rd, Columbus, OH 43232"
"$795 - 1,200",1-2 Beds,"3451 E Livingston Ave, Columbus, OH 43227"
"$1,549 - 1,754",2-3 Beds,"4584 Samoyed Dr, Canal Winchester, OH 43110"
"$1,640 - 2,145",2 Beds,"6400 Birch Trail Ln, Canal Winchester, OH 43110"
"$1,081 - 1,529",Studio - 2 Beds,"5160 Preferred Pl, Hilliard, OH 43026"
"$1,099 - 1,749",1-2 Beds,"700 Vista Dr, Gahanna, OH 43230"
"$830 - 1,705",1-2 Beds,"1366 Briarcliff Plz, Reynoldsburg, OH 43068"
"$1,188 - 2,467",1-2 Beds,"6400 Preserve Crossing Blvd N, Gahanna, OH 43230"
"$1,080 - 1,489",1-3 Beds,"5591 Rustling Way, Galloway, OH 43119"
"$959 - 1,641",1-3 Beds,"421 Iverson Way, Galloway, OH 43119"
"$2,305",1 Bed,"Columbus, OH 43212"
"$1,922",Studio,"Columbus, OH 43215"
"$1,855",1 Bed,"Columbus, OH 43215"
"$2,180",1 Bed,"Columbus, OH 43215"
"$2,169",1 Bed,"Columbus, OH 43215"
"$1,844",1 Bed,"Lewis Center, OH 43035"
"$2,207",2 Beds,"Lewis Center, OH 43035"
"$1,963",1 Bed,"Dublin, OH 43017"
"$2,045",2 Beds,"Lewis Center, OH 43035"
"$1,594",1 Bed,"Canal Winchester, OH 43110"
"$2,042",2 Beds,"Canal Winchester, OH 43110"
"$2,302",2 Beds,"Dublin, OH 43016"
"$2,209",2 Beds,"Dublin, OH 43017"
